ticker,entry_date,exit_date,entry_price,exit_price,return_pct,pnl_eur,reason
MU,2020-05-15,2020-05-27,42.21,46.60,10.24,102.43,TP
MU,2020-05-28,2020-08-13,47.50,44.94,-5.52,-55.23,SL
MU,2020-10-20,2020-10-26,51.83,50.33,-3.05,-30.47,SL
MU,2020-12-07,2020-12-11,71.48,67.85,-5.22,-52.22,SL
MU,2020-12-14,2020-12-29,69.64,67.85,-2.71,-27.12,SL
MU,2020-12-31,2020-12-31,70.60,73.04,3.30,33.04,TP
MU,2021-01-04,2021-01-20,74.59,85.06,13.89,138.91,TP
MU,2021-01-22,2021-01-27,82.00,73.23,-10.84,-108.42,OB_Inv
MU,2021-02-24,2021-03-01,86.12,91.06,5.59,55.93,TP
MU,2021-03-08,2021-03-24,86.38,80.95,-6.44,-64.39,OB_Inv
MU,2021-07-09,2021-07-12,75.50,77.13,2.01,20.09,TP
MU,2021-07-13,2021-07-15,77.32,75.02,-3.13,-31.27,OB_Inv
MU,2022-08-15,2022-08-17,63.47,60.45,-4.91,-49.10,OB_Inv
MU,2023-02-02,2023-02-06,62.62,59.10,-5.78,-57.82,OB_Inv
MU,2023-05-16,2023-05-26,63.73,73.33,14.92,149.22,TP
MU,2024-01-29,2024-01-30,87.80,85.48,-2.79,-27.94,OB_Inv
MU,2024-03-26,2024-04-18,118.06,112.11,-5.18,-51.84,SL
MU,2024-09-26,2024-11-15,112.41,97.08,-13.79,-137.86,SL
MU,2025-08-13,2025-08-14,127.40,122.84,-3.72,-37.24,SL
MU,2025-08-15,2025-08-15,122.99,122.83,-0.28,-2.79,SL
MU,2025-11-17,2025-11-18,246.72,228.31,-7.61,-76.10,OB_Inv
MU,2025-12-22,2025-12-31,276.92,285.29,2.87,28.72,EOD
NTAP,2020-04-30,2020-05-01,38.06,35.61,-6.60,-66.00,OB_Inv
NTAP,2020-08-31,2020-09-11,40.09,37.90,-5.62,-56.24,SL
NTAP,2020-09-15,2020-09-17,39.94,37.48,-6.30,-63.01,OB_Inv
NTAP,2020-12-02,2020-12-23,50.77,58.89,15.84,158.44,TP
NTAP,2021-01-25,2021-01-27,57.34,59.89,4.30,43.02,TP
NTAP,2021-01-28,2021-02-25,60.79,54.11,-11.14,-111.43,OB_Inv
NTAP,2021-04-19,2021-04-20,68.87,66.90,-3.02,-30.18,OB_Inv
NTAP,2021-07-20,2021-08-02,69.56,72.65,4.29,42.89,TP
NTAP,2021-08-30,2021-09-01,77.95,80.16,2.68,26.80,TP
NTAP,2021-09-10,2021-09-20,82.67,79.64,-3.81,-38.10,OB_Inv
NTAP,2022-01-07,2022-01-10,84.39,83.12,-1.65,-16.50,SL
NTAP,2022-01-11,2022-01-14,84.62,87.48,3.22,32.24,TP
NTAP,2022-12-08,2022-12-13,58.91,61.72,4.63,46.27,TP
NTAP,2023-02-08,2023-02-22,62.48,60.88,-2.71,-27.06,SL
NTAP,2023-02-24,2023-02-24,60.94,60.87,-0.26,-2.62,SL
NTAP,2023-02-27,2023-02-27,61.39,60.88,-0.98,-9.85,SL
NTAP,2023-04-18,2023-04-19,63.76,62.17,-2.64,-26.41,OB_Inv
NTAP,2023-07-21,2023-07-28,75.74,73.07,-3.67,-36.72,OB_Inv
NTAP,2023-08-01,2023-08-01,73.32,74.03,0.83,8.26,TP
NTAP,2023-08-02,2023-08-09,73.91,72.76,-1.71,-17.11,OB_Inv
NTAP,2023-10-18,2023-10-20,72.96,70.75,-3.18,-31.78,OB_Inv
NTAP,2024-05-21,2024-05-23,107.34,109.93,2.26,22.64,TP
NTAP,2024-06-03,2024-06-03,113.50,111.78,-1.67,-16.68,SL
NTAP,2024-06-04,2024-06-11,114.53,120.02,4.65,46.47,TP
NTAP,2024-07-17,2024-07-17,125.19,123.59,-1.43,-14.32,SL
NTAP,2024-09-05,2024-09-06,113.92,110.33,-3.30,-32.97,OB_Inv
NTAP,2024-11-26,2024-12-10,122.67,117.63,-4.26,-42.56,OB_Inv
NTAP,2025-02-11,2025-02-28,118.24,97.29,-17.87,-178.66,OB_Inv
NTAP,2025-05-20,2025-05-21,98.58,97.68,-1.07,-10.66,OB_Inv
NTAP,2025-06-04,2025-08-01,102.03,100.57,-1.58,-15.79,SL
NTAP,2025-08-29,2025-09-30,114.80,115.63,0.57,5.72,SL
NTAP,2025-10-14,2025-11-07,115.78,110.67,-4.56,-45.63,SL
NTAP,2025-11-10,2025-11-10,113.16,110.73,-2.29,-22.94,SL
NTRS,2020-06-16,2020-06-19,72.56,68.17,-6.20,-62.00,SL
NTRS,2020-06-23,2020-06-23,69.38,68.22,-1.82,-18.20,SL
NTRS,2021-01-20,2021-01-20,82.43,81.65,-1.10,-10.96,SL
NTRS,2021-03-16,2021-03-19,89.01,87.29,-2.09,-20.87,SL
NTRS,2021-08-20,2021-08-23,97.99,100.21,2.12,21.19,TP
NTRS,2022-01-10,2022-01-19,113.29,109.67,-3.35,-33.50,OB_Inv
NTRS,2023-01-23,2023-02-07,83.67,89.40,6.70,67.03,TP
NTRS,2023-02-21,2023-03-09,85.43,78.63,-8.11,-81.14,OB_Inv
